iter	Passed	Remaining
667	12082	6005
668	12087	5980
669	12093	5956
670	12098	5931
671	12104	5908
672	12131	5894
673	12140	5872
674	12149	5849
675	12190	5842
676	12214	5827
677	12234	5810
678	12241	5787
679	12247	5763
680	12253	5739
681	12286	5729
682	12299	5708
683	12309	5686
684	12318	5664
685	12323	5640
686	12376	5638
687	12415	5630
688	12441	5615
689	12447	5592
690	12453	5568
691	12480	5555
692	12526	5549
693	12560	5538
694	12649	5551
695	12654	5527
696	12659	5503
697	12664	5479
698	12669	5455
699	12674	5432
700	12689	5412
701	12699	5390
702	12709	5369
703	12715	5346
704	12723	5324
705	12781	5322
706	12801	5305
707	12806	5281
708	12811	5258
709	12817	5235
710	12822	5212
711	12850	5197
712	12993	5230
713	12998	5206
714	13003	5183
715	13013	5161
716	13018	5138
717	13066	5132
718	13074	5109
719	13081	5087
720	13092	5066
721	13097	5042
722	13126	5029
723	13132	5006
724	13138	4983
725	13169	4970
726	13178	4948
727	13183	4925
728	13189	4903
729	13195	4880
730	13233	4869
731	13238	4846
732	13244	4824
733	13250	4801
734	13256	4779
735	13261	4756
736	13295	4744
737	13300	4721
738	13305	4699
739	13310	4676
740	13315	4654
741	13319	4631
742	13362	4621
743	13375	4602
744	13410	4590
745	13421	4569
746	13427	4547
747	13437	4527
748	13482	4518
749	13487	4495
750	13495	4474
751	13500	4452
752	13580	4454
753	13586	4432
754	13596	4412
755	13616	4394
756	13624	4373
757	13633	4352
758	13644	4332
759	13656	4312
760	13676	4295
761	13685	4274
762	13690	4252
763	13696	4230
764	13720	4214
765	13727	4193
766	13742	4174
767	13754	4155
768	13784	4140
769	13794	4120
770	13800	4098
771	13828	4084
772	13905	4083
773	13918	4063
774	13925	4042
775	13930	4021
776	13939	4000
777	13946	3979
778	13963	3961
779	13974	3941
780	13980	3920
781	13987	3899
782	14013	3883
783	14048	3870
784	14055	3849
785	14062	3828
786	14068	3807
787	14073	3786
788	14091	3768
789	14105	3749
790	14110	3728
791	14114	3706
792	14120	3685
793	14124	3664
794	14142	3646
795	14154	3627
796	14161	3607
797	14167	3586
798	14176	3566
799	14182	3545
800	14189	3525
801	14197	3505
802	14202	3484
803	14210	3464
804	14215	3443
805	14220	3422
806	14225	3402
807	14230	3381
808	14237	3361
809	14260	3345
810	14276	3327
811	14300	3310
812	14328	3295
813	14348	3278
814	14357	3259
815	14379	3242
816	14384	3222
817	14391	3202
818	14397	3181
819	14403	3161
820	14425	3145
821	14452	3129
822	14457	3109
823	14505	3098
824	14518	3079
825	14525	3059
826	14534	3040
827	14575	3027
828	14588	3009
829	14599	2990
830	14620	2973
831	14649	2958
832	14697	2946
833	14742	2934
834	14754	2915
835	14762	2896
836	14845	2890
837	14854	2871
838	14867	2853
839	14874	2833
